number,Type,Date,Time,num_Sats,HDOP,Lat,Lon,Notes
#35,71899,0/00/2009,12:03:36 p.m.,12,9,-126.12698,-86.84309,Fix
#72,71899,3/8/2008,12:17:05 a.m.,2,1,-86.21608,-44.57085,Fix
#8,71899,12/4/2009,2:42:10 a.m.,4,2,-83.61476,-277.67373,Fix
#39,71899,11/17/2009,9:02:04 a.m.,5,2,-76.06434,-3.36064,Fix
#48,71899,1/9/2009,12:12:16 p.m.,0,14,-69.55301,-30.80652,Fix
#43,71899,5/12/2008,6:23:34 a.m.,15,15,-63.6321,-81.60986,Fix
#17,71899,9/19/2011,6:00:00 a.m.,12,15,-43.09712,-41.34852,Fix
#38,71899,6/13/2011,3:33:09 a.m.,9,5,-31.98032,-244.81324,Fix
#16,71899,11/10/2009,08:19:61 p.m.,2,0,-27.25145,-83.94848,Fix
#756,71899,11/4/2009,11:42:38 p.m.,5,2,-12.40255,-142.13355,Fix
#793,71899,11/9/2009,2:14:38 p.m.,6,7,-12.40252,-142.13181,Fix
#767,71899,11/6/2009,8:31:39 a.m.,5,1,-12.40237,-142.14403,Fix
#647,71899,10/22/2009,9:49:56 a.m.,5,1,-12.4023,-142.13218,Fix
#790,71899,11/9/2009,5:16:56 a.m.,4,3,-12.40225,-142.14471,Fix
#905,71899,11/23/2009,12:59:38 p.m.,5,2,-12.40223,-142.14464,Fix
#912,71899,11/24/2009,9:58:38 a.m.,5,2,-12.40222,-142.13163,Fix
#680,71899,10/26/2009,12:27:38 p.m.,5,1,-12.4022,-142.1314,Fix
#904,71899,11/23/2009,10:00:39 a.m.,4,4,-12.40216,-142.13132,Fix
#682,71899,10/26/2009,6:27:38 p.m.,6,2,-12.40211,-142.13166,Fix
#787,71899,11/8/2009,8:16:38 p.m.,6,1,-12.40211,-142.13138,Fix
#907,71899,11/23/2009,6:59:56 p.m.,6,1,-12.40203,-142.13128,Fix
#914,71899,11/24/2009,3:57:56 p.m.,5,1,-12.40203,-142.13139,Fix
#770,71899,11/6/2009,5:30:39 p.m.,5,1,-12.402,-142.13138,Fix
#769,71899,11/6/2009,2:30:39 p.m.,5,3,-12.40197,-142.14065,Fix
#791,71899,11/9/2009,8:14:56 a.m.,6,1,-12.40197,-142.13141,Fix
#915,71899,11/24/2009,6:57:38 p.m.,6,1,-12.40196,-142.13139,Fix
#720,71899,10/31/2009,12:07:38 p.m.,7,1,-12.40194,-142.14083,Fix
#913,71899,11/24/2009,12:58:38 p.m.,5,2,-12.40194,-142.13142,Fix
#792,71899,11/9/2009,11:14:39 a.m.,4,1,-12.40191,-142.13147,Fix
#771,71899,11/6/2009,8:29:38 p.m.,5,1,-12.40189,-142.13143,Fix
#903,71899,11/23/2009,7:00:39 a.m.,7,1,-12.40189,-142.13144,Fix
#908,71899,11/23/2009,10:00:08 p.m.,5,2,-12.40189,-142.13143,Fix
#910,71899,11/24/2009,3:59:26 a.m.,5,1,-12.40189,-142.13144,Fix
#911,71899,11/24/2009,6:58:38 a.m.,7,3,-12.40186,-142.1314,Fix
#909,71899,11/24/2009,12:59:08 a.m.,5,3,-12.40185,-142.13143,Fix
#765,71899,11/6/2009,2:33:38 a.m.,5,1,-12.40184,-142.13086,Fix
#916,71899,11/24/2009,9:57:38 p.m.,7,2,-12.40181,-142.13143,Fix
#906,71899,11/23/2009,3:59:45 p.m.,4,1,-12.4018,-142.13152,Fix
#672,71899,10/25/2009,12:34:08 p.m.,5,1,-12.40167,-142.13582,Fix
#685,71899,10/27/2009,3:24:38 a.m.,6,2,-12.40165,-142.14071,Fix
#664,71899,10/24/2009,12:39:38 p.m.,6,1,-12.40163,-142.13082,Fix
#648,71899,10/22/2009,12:48:38 p.m.,4,1,-12.4016,-142.13573,Fix
#789,71899,11/9/2009,2:15:56 a.m.,6,1,-12.40151,-142.13488,Fix
#660,71899,10/24/2009,12:42:38 a.m.,5,2,-12.40135,-142.13688,Fix
#656,71899,10/23/2009,12:45:26 p.m.,4,1,-12.40132,-142.13693,Fix
#653,71899,10/23/2009,3:46:26 a.m.,5,3,-12.40128,-142.13969,Fix
#681,71899,10/26/2009,3:27:40 p.m.,6,1,-12.40128,-142.13665,Fix
#658,71899,10/23/2009,6:42:56 p.m.,5,2,-12.40127,-142.13692,Fix
#651,71899,10/22/2009,9:46:56 p.m.,4,2,-12.40123,-142.13706,Fix
#650,71899,10/22/2009,6:47:38 p.m.,4,4,-12.40121,-142.13714,Fix
#657,71899,10/23/2009,3:42:52 p.m.,6,1,-12.40118,-142.13697,Fix
#659,71899,10/23/2009,9:41:40 p.m.,5,2,-12.40112,-142.13709,Fix
#786,71899,11/8/2009,5:16:39 p.m.,5,2,-12.40007,-142.1298,Fix
#686,71899,10/27/2009,6:24:56 a.m.,5,2,-12.40002,-142.12928,Fix
#735,71899,11/2/2009,8:57:08 a.m.,5,1,-12.39943,-142.12863,Fix
#700,71899,10/29/2009,12:17:27 a.m.,4,3,-12.39888,-142.12776,Fix
#719,71899,10/31/2009,9:09:38 a.m.,6,1,-12.3986,-142.12754,Fix
#699,71899,10/28/2009,9:19:08 p.m.,8,1,-12.39806,-142.12674,Fix
#662,71899,10/24/2009,6:39:56 a.m.,7,1,-12.39794,-142.12643,Fix
#698,71899,10/28/2009,6:17:38 p.m.,7,1,-12.39655,-142.12621,Fix
#917,71899,11/25/2009,12:57:38 a.m.,5,1,-12.39573,-142.12677,Fix
#673,71899,10/25/2009,3:32:38 p.m.,5,4,-12.39323,-142.1275,Fix
#701,71899,10/29/2009,3:18:38 a.m.,6,1,-12.39319,-142.12755,Fix
#663,71899,10/24/2009,9:39:50 a.m.,6,6,-12.39297,-142.1279,Fix
#743,71899,11/3/2009,8:49:38 a.m.,4,2,-12.39285,-142.12146,Fix
#777,71899,11/7/2009,2:24:38 p.m.,6,7,-12.3926,-142.12138,Fix
#688,71899,10/27/2009,12:24:03 p.m.,4,1,-12.39259,-142.128,Fix
#734,71899,11/2/2009,5:56:38 a.m.,6,1,-12.39257,-142.1281,Fix
#745,71899,11/3/2009,2:48:02 p.m.,5,2,-12.39242,-142.12185,Fix
#641,71899,10/21/2009,3:53:38 p.m.,5,1,-12.39239,-142.12167,Fix
#711,71899,10/30/2009,9:11:10 a.m.,5,1,-12.39226,-142.12797,Fix
#718,71899,10/31/2009,6:09:31 a.m.,5,10,-12.39224,-142.12775,Fix
#646,71899,10/22/2009,6:49:39 a.m.,6,3,-12.39222,-142.12764,Fix
#739,71899,11/2/2009,8:53:38 p.m.,5,1,-12.39222,-142.12778,Fix
#710,71899,10/30/2009,6:10:40 a.m.,6,3,-12.39221,-142.12789,Fix
#755,71899,11/4/2009,8:42:57 p.m.,5,2,-12.39221,-142.12798,Fix
#716,71899,10/31/2009,12:10:33 a.m.,4,5,-12.39219,-142.12873,Fix
#754,71899,11/4/2009,5:42:56 p.m.,6,1,-12.39218,-142.12799,Fix
#665,71899,10/24/2009,3:39:26 p.m.,5,5,-12.39217,-142.12789,Fix
#774,71899,11/7/2009,5:27:56 a.m.,5,2,-12.39217,-142.12795,Fix
#833,71899,11/14/2009,1:47:07 p.m.,5,2,-12.39217,-142.12774,Fix
#835,71899,11/14/2009,7:47:09 p.m.,5,1,-12.39217,-142.12814,Fix
#687,71899,10/27/2009,9:25:38 a.m.,4,3,-12.39216,-142.12787,Fix
#715,71899,10/30/2009,9:08:38 p.m.,4,4,-12.39216,-142.12819,Fix
#736,71899,11/2/2009,11:56:08 a.m.,4,3,-12.39216,-142.12804,Fix
#760,71899,11/5/2009,11:37:57 a.m.,5,1,-12.39216,-142.12794,Fix
#667,71899,10/24/2009,9:39:09 p.m.,4,2,-12.39215,-142.12768,Fix
#674,71899,10/25/2009,6:31:50 p.m.,4,1,-12.39214,-142.12783,Fix
#737,71899,11/2/2009,2:57:39 p.m.,5,3,-12.39214,-142.1281,Fix
#675,71899,10/25/2009,9:32:02 p.m.,5,2,-12.39212,-142.12774,Fix
#838,71899,11/15/2009,4:44:39 a.m.,5,2,-12.39212,-142.12778,Fix
#679,71899,10/26/2009,9:29:10 a.m.,5,3,-12.39209,-142.12792,Fix
#837,71899,11/15/2009,1:45:38 a.m.,4,1,-12.39207,-142.12771,Fix
#713,71899,10/30/2009,3:09:38 p.m.,6,3,-12.39206,-142.12786,Fix
#834,71899,11/14/2009,4:47:38 p.m.,6,4,-12.39205,-142.12749,Fix
#717,71899,10/31/2009,3:08:56 a.m.,4,3,-12.39203,-142.12769,Fix
#753,71899,11/4/2009,2:42:39 p.m.,6,2,-12.39202,-142.12768,Fix
#836,71899,11/14/2009,10:46:32 p.m.,5,2,-12.39197,-142.12852,Fix
#714,71899,10/30/2009,6:09:38 p.m.,5,4,-12.39196,-142.12741,Fix
#849,71899,11/16/2009,1:36:03 p.m.,5,2,-12.39136,-142.12183,Fix
#795,71899,11/9/2009,8:14:38 p.m.,5,2,-12.39131,-142.12165,Fix
#723,71899,10/31/2009,9:04:39 p.m.,6,1,-12.3913,-142.1219,Fix
#842,71899,11/15/2009,4:41:56 p.m.,4,3,-12.39127,-142.12479,Fix
#841,71899,11/15/2009,1:43:08 p.m.,6,6,-12.39126,-142.12493,Fix
#763,71899,11/5/2009,8:34:38 p.m.,6,1,-12.39125,-142.12461,Fix
#843,71899,11/15/2009,7:43:57 p.m.,5,1,-12.39125,-142.12461,Fix
#924,71899,11/25/2009,9:52:39 p.m.,6,1,-12.39121,-142.12457,Fix
#728,71899,11/1/2009,12:01:39 p.m.,5,1,-12.3912,-142.12455,Fix
#923,71899,11/25/2009,6:54:02 p.m.,5,1,-12.39119,-142.12463,Fix
#762,71899,11/5/2009,5:34:56 p.m.,4,3,-12.39118,-142.12459,Fix
#730,71899,11/1/2009,5:57:38 p.m.,4,3,-12.39115,-142.12462,Fix
#845,71899,11/16/2009,1:39:38 a.m.,5,1,-12.39113,-142.12467,Fix
#925,71899,11/26/2009,12:53:32 a.m.,6,1,-12.39113,-142.12446,Fix
#731,71899,11/1/2009,8:58:08 p.m.,4,2,-12.39112,-142.12449,Fix
#725,71899,11/1/2009,3:04:39 a.m.,4,2,-12.39105,-142.12455,Fix
#922,71899,11/25/2009,3:53:39 p.m.,4,3,-12.39104,-142.12457,Fix
#901,71899,11/23/2009,1:02:59 a.m.,5,9,-12.39098,-142.12159,Fix
#927,71899,11/26/2009,6:51:57 a.m.,6,2,-12.39094,-142.12169,Fix
#898,71899,11/22/2009,4:03:56 p.m.,6,1,-12.39093,-142.12169,Fix
#900,71899,11/22/2009,10:02:38 p.m.,6,6,-12.39092,-142.12164,Fix
#928,71899,11/26/2009,9:51:02 a.m.,5,2,-12.39092,-142.12164,Fix
#832,71899,11/14/2009,10:48:56 a.m.,4,1,-12.39087,-142.12881,Fix
#932,71899,11/26/2009,9:48:40 p.m.,6,1,-12.39086,-142.12167,Fix
#934,71899,11/27/2009,3:47:41 a.m.,5,4,-12.39085,-142.12148,Fix
#482,71899,10/1/2009,8:12:39 p.m.,7,1,-12.39083,-142.1216,Fix
#899,71899,11/22/2009,7:03:41 p.m.,6,2,-12.3908,-142.12156,Fix
#921,71899,11/25/2009,12:54:38 p.m.,6,2,-12.3908,-142.12142,Fix
#929,71899,11/26/2009,12:50:38 p.m.,6,2,-12.39079,-142.12158,Fix
#689,71899,10/27/2009,3:22:38 p.m.,5,3,-12.3907,-142.12355,Fix
#933,71899,11/27/2009,12:47:38 a.m.,5,2,-12.39061,-142.12153,Fix
#782,71899,11/8/2009,5:20:38 a.m.,5,1,-12.39059,-142.12311,Fix
#785,71899,11/8/2009,2:19:02 p.m.,4,3,-12.39059,-142.12329,Fix
#732,71899,11/1/2009,11:57:38 p.m.,7,1,-12.39057,-142.12585,Fix
#707,71899,10/29/2009,9:12:38 p.m.,5,1,-12.39025,-142.12171,Fix
#926,71899,11/26/2009,3:51:39 a.m.,5,1,-12.39014,-142.122,Fix
#796,71899,11/9/2009,11:12:39 p.m.,6,2,-12.39004,-142.1223,Fix
#733,71899,11/2/2009,2:57:56 a.m.,7,1,-12.38997,-142.12918,Fix
#703,71899,10/29/2009,9:15:45 a.m.,4,1,-12.38977,-142.12197,Fix
#752,71899,11/4/2009,11:44:13 a.m.,4,4,-12.38938,-142.12903,Fix
#801,71899,11/10/2009,2:08:38 p.m.,6,2,-12.38883,-142.12029,Fix
#749,71899,11/4/2009,2:45:56 a.m.,6,2,-12.3876,-142.12011,Fix
#636,71899,10/21/2009,12:57:39 a.m.,5,2,-12.3874,-142.11993,Fix
#483,71899,10/1/2009,11:12:38 p.m.,4,2,-12.38709,-142.11965,Fix
#642,71899,10/21/2009,6:52:56 p.m.,6,2,-12.38623,-142.11951,Fix
#697,71899,10/28/2009,3:17:38 p.m.,6,2,-12.3845,-142.11994,Fix
#37,71899,8/25/2008,2:36:18 p.m.,2,1,-12.38364,-223.72403,Fix
#830,71899,11/14/2009,4:47:38 a.m.,5,3,-12.38208,-142.12149,Fix
#857,71899,11/17/2009,1:29:38 p.m.,7,2,-12.38161,-142.12192,Fix
#486,71899,10/2/2009,8:12:08 a.m.,6,1,-12.37935,-142.12258,Fix
#706,71899,10/29/2009,6:13:51 p.m.,4,3,-12.37838,-142.12233,Fix
#894,71899,11/22/2009,4:07:38 a.m.,8,2,-12.37722,-142.12157,Fix
#517,71899,10/6/2009,4:56:38 a.m.,7,2,-12.37712,-142.12151,Fix
#481,71899,10/1/2009,5:13:32 p.m.,6,1,-12.37582,-142.12094,Fix
#746,71899,11/3/2009,5:47:39 p.m.,6,6,-12.37395,-142.11996,Fix
#852,71899,11/16/2009,10:34:38 p.m.,5,3,-12.37385,-142.11997,Fix
#632,71899,10/20/2009,1:01:39 p.m.,7,1,-12.37383,-142.12023,Fix
#562,71899,10/11/2009,7:32:10 p.m.,6,1,-12.37377,-142.12018,Fix
#850,71899,11/16/2009,4:34:38 p.m.,4,1,-12.37374,-142.12017,Fix
#851,71899,11/16/2009,7:34:38 p.m.,5,1,-12.37373,-142.12011,Fix
#633,71899,10/20/2009,3:58:52 p.m.,6,1,-12.37372,-142.12004,Fix
#479,71899,10/1/2009,11:14:57 a.m.,6,1,-12.3737,-142.12008,Fix
#480,71899,10/1/2009,2:13:38 p.m.,5,1,-12.37368,-142.12006,Fix
#634,71899,10/20/2009,6:59:39 p.m.,5,2,-12.37359,-142.1199,Fix
#515,71899,10/5/2009,10:55:38 p.m.,5,2,-12.3731,-142.11926,Fix
#690,71899,10/27/2009,6:23:51 p.m.,4,3,-12.37244,-142.11941,Fix
#561,71899,10/11/2009,4:31:38 p.m.,7,1,-12.37207,-142.11886,Fix
#631,71899,10/20/2009,10:00:29 a.m.,4,7,-12.37195,-142.11913,Fix
#518,71899,10/6/2009,7:55:26 a.m.,5,1,-12.37073,-142.11839,Fix
#704,71899,10/29/2009,12:15:39 p.m.,4,2,-12.3707,-142.11829,Fix
#696,71899,10/28/2009,12:18:39 p.m.,4,2,-12.37035,-142.12205,Fix
#629,71899,10/20/2009,4:00:34 a.m.,5,3,-12.3701,-142.12294,Fix
#513,71899,10/5/2009,4:55:38 p.m.,5,3,-12.37007,-142.12278,Fix
#938,71899,11/27/2009,3:44:38 p.m.,5,1,-12.37007,-142.12312,Fix
#630,71899,10/20/2009,6:59:38 a.m.,7,1,-12.37006,-142.12304,Fix
#747,71899,11/3/2009,8:47:38 p.m.,6,1,-12.37005,-142.12296,Fix
#514,71899,10/5/2009,7:55:38 p.m.,5,1,-12.37003,-142.12302,Fix
#487,71899,10/2/2009,11:09:38 a.m.,7,1,-12.36878,-142.12329,Fix
#512,71899,10/5/2009,1:56:39 p.m.,7,1,-12.36804,-142.12355,Fix
#802,71899,11/10/2009,5:07:38 p.m.,8,1,-12.36569,-142.12236,Fix
#563,71899,10/11/2009,10:31:56 p.m.,5,2,-12.36552,-142.12232,Fix
#519,71899,10/6/2009,10:53:56 a.m.,6,2,-12.36493,-142.122,Fix
#215,71899,8/29/2009,1:54:38 p.m.,8,1,-12.36459,-142.12043,Fix
#327,71899,9/12/2009,12:39:39 p.m.,6,1,-12.36393,-142.11861,Fix
#560,71899,10/11/2009,1:33:32 p.m.,6,1,-12.36323,-142.11589,Fix
#695,71899,10/28/2009,9:18:56 a.m.,5,3,-12.36306,-142.11621,Fix
#477,71899,10/1/2009,5:15:56 a.m.,6,1,-12.36108,-142.11406,Fix
#511,71899,10/5/2009,10:56:38 a.m.,5,1,-12.36096,-142.11459,Fix
#200,71899,8/27/2009,5:02:38 p.m.,6,1,-12.36038,-142.11334,Fix
#559,71899,10/11/2009,10:31:56 a.m.,6,2,-12.36035,-142.11353,Fix
#625,71899,10/19/2009,4:01:56 p.m.,5,2,-12.36033,-142.11335,Fix
#626,71899,10/19/2009,7:01:38 p.m.,6,2,-12.36032,-142.11344,Fix
#627,71899,10/19/2009,10:01:41 p.m.,7,2,-12.36031,-142.11334,Fix
#558,71899,10/11/2009,7:32:39 a.m.,8,1,-12.36026,-142.1135,Fix
#201,71899,8/27/2009,8:02:40 p.m.,5,1,-12.36006,-142.11331,Fix
#624,71899,10/19/2009,1:01:39 p.m.,4,2,-12.35995,-142.11262,Fix
#344,71899,9/14/2009,3:27:34 p.m.,5,1,-12.35789,-142.11293,Fix
#567,71899,10/12/2009,10:28:09 a.m.,6,3,-12.3566,-142.11298,Fix
#557,71899,10/11/2009,4:34:02 a.m.,6,1,-12.35458,-142.11259,Fix
#324,71899,9/12/2009,3:40:38 a.m.,6,1,-12.35448,-142.11267,Fix
#544,71899,10/9/2009,1:42:38 p.m.,8,1,-12.35401,-142.11284,Fix
#520,71899,10/6/2009,1:53:38 p.m.,7,1,-12.35245,-142.11026,Fix
#199,71899,8/27/2009,2:02:38 p.m.,6,1,-12.35238,-142.11236,Fix
#829,71899,11/14/2009,1:49:08 a.m.,5,1,-12.35217,-142.1117,Fix
#568,71899,10/12/2009,1:26:38 p.m.,5,1,-12.35212,-142.11222,Fix
#569,71899,10/12/2009,4:27:04 p.m.,7,1,-12.35196,-142.11183,Fix
#570,71899,10/12/2009,7:25:38 p.m.,5,1,-12.35196,-142.11216,Fix
#202,71899,8/27/2009,11:02:39 p.m.,7,1,-12.35175,-142.11089,Fix
#692,71899,10/28/2009,12:23:38 a.m.,6,1,-12.35173,-142.11057,Fix
#328,71899,9/12/2009,3:39:08 p.m.,8,1,-12.35079,-142.10836,Fix
#184,71899,8/25/2009,5:14:56 p.m.,6,1,-12.35042,-142.10731,Fix
#476,71899,10/1/2009,2:15:44 a.m.,5,3,-12.35038,-142.10792,Fix
#509,71899,10/5/2009,4:57:38 a.m.,5,1,-12.34905,-142.10619,Fix
#623,71899,10/19/2009,10:02:50 a.m.,6,4,-12.34616,-142.10374,Fix
#507,71899,10/4/2009,10:59:56 p.m.,5,2,-12.34583,-142.10359,Fix
#547,71899,10/9/2009,10:40:38 p.m.,5,2,-12.34543,-142.10324,Fix
#488,71899,10/2/2009,2:09:38 p.m.,8,1,-12.34516,-142.10355,Fix
#471,71899,9/30/2009,11:17:38 a.m.,6,3,-12.34488,-142.10321,Fix
#583,71899,10/14/2009,10:18:09 a.m.,5,1,-12.34369,-142.10283,Fix
#584,71899,10/14/2009,1:16:38 p.m.,6,1,-12.34347,-142.10279,Fix
#585,71899,10/14/2009,4:18:08 p.m.,5,1,-12.34339,-142.10298,Fix
#577,71899,10/13/2009,4:20:38 p.m.,6,2,-12.34303,-142.10311,Fix
#522,71899,10/6/2009,7:52:56 p.m.,7,2,-12.34301,-142.1031,Fix
#505,71899,10/4/2009,5:00:18 p.m.,5,2,-12.34297,-142.10304,Fix
#545,71899,10/9/2009,4:41:26 p.m.,5,2,-12.34297,-142.10273,Fix
#473,71899,9/30/2009,5:16:38 p.m.,6,2,-12.34294,-142.10281,Fix
#474,71899,9/30/2009,8:16:38 p.m.,5,2,-12.34294,-142.10266,Fix
#521,71899,10/6/2009,4:53:38 p.m.,5,2,-12.3429,-142.10251,Fix
#551,71899,10/10/2009,10:38:10 a.m.,6,2,-12.34285,-142.10284,Fix
#506,71899,10/4/2009,8:01:56 p.m.,5,2,-12.34284,-142.10259,Fix
#472,71899,9/30/2009,2:16:39 p.m.,7,1,-12.34247,-142.10344,Fix
#203,71899,8/28/2009,2:01:38 a.m.,4,2,-12.34243,-142.10334,Fix
#475,71899,9/30/2009,11:16:38 p.m.,8,1,-12.34239,-142.10294,Fix
#204,71899,8/28/2009,5:01:39 a.m.,7,1,-12.34157,-142.10353,Fix
#523,71899,10/6/2009,10:52:38 p.m.,6,2,-12.34054,-142.10401,Fix
#578,71899,10/13/2009,7:19:38 p.m.,4,2,-12.34044,-142.10421,Fix
#369,71899,9/17/2009,6:16:39 p.m.,7,1,-12.34018,-142.1046,Fix
#205,71899,8/28/2009,8:03:50 a.m.,6,1,-12.33992,-142.10578,Fix
#893,71899,11/22/2009,1:07:39 a.m.,6,1,-12.33945,-142.10707,Fix
#579,71899,10/13/2009,10:19:38 p.m.,6,1,-12.33893,-142.10896,Fix
#524,71899,10/7/2009,1:52:38 a.m.,5,2,-12.33892,-142.10908,Fix
#818,71899,11/12/2009,4:56:38 p.m.,5,1,-12.33891,-142.10913,Fix
#821,71899,11/13/2009,1:54:39 a.m.,6,2,-12.33889,-142.1094,Fix
#819,71899,11/12/2009,7:55:38 p.m.,4,5,-12.33886,-142.10905,Fix
#822,71899,11/13/2009,4:54:38 a.m.,5,3,-12.33884,-142.10906,Fix
#820,71899,11/12/2009,10:56:08 p.m.,5,1,-12.33882,-142.10897,Fix
#580,71899,10/14/2009,1:20:03 a.m.,6,5,-12.33875,-142.10893,Fix
#815,71899,11/12/2009,7:59:39 a.m.,6,1,-12.33874,-142.1092,Fix
#424,71899,9/24/2009,2:50:03 p.m.,5,1,-12.3382,-142.10981,Fix
#504,71899,10/4/2009,1:59:38 p.m.,6,3,-12.33792,-142.10924,Fix
#814,71899,11/12/2009,4:59:46 a.m.,4,2,-12.33785,-142.10936,Fix
#827,71899,11/13/2009,7:49:38 p.m.,5,1,-12.33732,-142.11,Fix
#552,71899,10/10/2009,1:36:38 p.m.,5,1,-12.33703,-142.1107,Fix
#158,71899,8/22/2009,11:32:39 a.m.,6,1,-12.33551,-142.11128,Fix
#556,71899,10/11/2009,1:33:38 a.m.,7,1,-12.33481,-142.11176,Fix
#119,71899,8/17/2009,3:05:09 p.m.,6,1,-12.33454,-142.11217,Fix
#825,71899,11/13/2009,1:52:05 p.m.,5,3,-12.3342,-142.11228,Fix
#576,71899,10/13/2009,1:20:39 p.m.,5,1,-12.33412,-142.1117,Fix
#206,71899,8/28/2009,11:03:19 a.m.,5,1,-12.33398,-142.11274,Fix
#343,71899,9/14/2009,12:27:38 p.m.,8,1,-12.33386,-142.11231,Fix
#345,71899,9/14/2009,6:27:39 p.m.,8,1,-12.33199,-142.1128,Fix
#370,71899,9/17/2009,9:15:39 p.m.,7,1,-12.33195,-142.11279,Fix
#323,71899,9/12/2009,12:42:02 a.m.,8,1,-12.33031,-142.11302,Fix
#182,71899,8/25/2009,11:16:27 a.m.,4,2,-12.32938,-142.11301,Fix
#217,71899,8/29/2009,7:54:39 p.m.,4,1,-12.32898,-142.11281,Fix
#803,71899,11/10/2009,8:08:38 p.m.,6,1,-12.32896,-142.11287,Fix
#489,71899,10/2/2009,5:09:33 p.m.,5,1,-12.32871,-142.11269,Fix
#490,71899,10/2/2009,8:08:56 p.m.,6,1,-12.32866,-142.11279,Fix
#503,71899,10/4/2009,11:00:38 a.m.,6,5,-12.32714,-142.11228,Fix
#587,71899,10/14/2009,10:15:58 p.m.,6,1,-12.32689,-142.11175,Fix
#586,71899,10/14/2009,7:16:38 p.m.,4,4,-12.3266,-142.11275,Fix
